1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,SAR_Laptime_s,SAR_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CS_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
11 1:37.774,1:37.774,97.774,1591.393,,11 1:38.216,1:38.216,98.216,1595.121,,11 1:39.348,1:39.348,99.348,1626.107,,,,#VALUE!,#VALUE!,,11 P 1:40.760,1:40.760,100.760,1600.746,,11 1:39.245,1:39.245,99.245,1605.314,,11 1:41.628,1:41.628,101.628,1628.102,,11 1:40.371,1:40.371,100.371,1622.864,,11 1:38.943,1:38.943,98.943,1603.877,,11 1:39.103,1:39.103,99.103,1614.931,,11 1:39.193,1:39.193,99.193,1605.862,,11 1:38.273,1:38.273,98.273,1599.47,,11 1:39.900,1:39.900,99.9,1623.536,,11 1:38.352,1:38.352,98.352,1632.562,,,,#VALUE!,#VALUE!,,11 1:37.895,1:37.895,97.895,1629.855,,11 P 1:41.117,1:41.117,101.117,1640.829,,11 1:38.432,1:38.432,98.432,1628.778,,11 1:39.292,1:39.292,99.292,1607.472,,11 1:38.949,1:38.949,98.949,1608.117,,10,1068.600,425.019,428.305,438.069,432.597,439.580,440.568,436.334,447.228,431.386,437.469,453.893,457.874,463.360,,,458.159,455.036,465.610,461.746,471.112
12 1:37.753,1:37.753,97.753,1689.146,,12 1:38.156,1:38.156,98.156,1693.277,,12 1:39.911,1:39.911,99.911,1726.018,,,,#VALUE!,#VALUE!,,12 1:55.643,1:55.643,115.643,1716.389,,12 P 1:41.083,1:41.083,101.083,1706.397,,12 1:41.107,1:41.107,101.107,1729.209,,12 1:40.560,1:40.560,100.560,1723.424,,12 1:38.744,1:38.744,98.744,1702.621,,12 P 1:41.638,1:41.638,101.638,1716.569,,12 1:38.883,1:38.883,98.883,1704.745,,12 1:37.847,1:37.847,97.847,1697.317,,12 1:40.260,1:40.260,100.26,1723.796,,12 1:38.847,1:38.847,98.847,1731.409,,,,#VALUE!,#VALUE!,,12 1:40.057,1:40.057,100.057,1729.912,,12 P 2:08.193,2:08.193,128.193,1769.022,,12 1:40.691,1:40.691,100.691,1729.469,,12 1:39.202,1:39.202,99.202,1706.674,,12 1:39.212,1:39.212,99.212,1707.329,,11,1175.460,415.933,419.661,430.402,424.010,432.012,432.657,428.417,439.471,425.286,429.854,447.404,452.642,454.395,,,450.647,448.076,457.102,453.318,465.369
13 1:37.727,1:37.727,97.727,1786.873,,13 1:38.125,1:38.125,98.125,1791.402,,13 1:40.197,1:40.197,100.197,1826.215,,,,#VALUE!,#VALUE!,,13 1:35.761,1:35.761,95.761,1812.150,,13 1:58.558,1:58.558,118.558,1824.955,,13 1:42.475,1:42.475,102.475,1831.684,,13 1:41.341,1:41.341,101.341,1824.765,,13 P 1:40.816,1:40.816,100.816,1803.437,,13 1:56.221,1:56.221,116.221,1832.790,,13 1:38.479,1:38.479,98.479,1803.224,,13 1:38.333,1:38.333,98.333,1795.65,,13 1:39.267,1:39.267,99.267,1823.063,,13 1:40.302,1:40.302,100.302,1831.711,,,,#VALUE!,#VALUE!,,13 1:38.980,1:38.980,98.98,1828.892,,,,#VALUE!,#VALUE!,,13 1:38.282,1:38.282,98.282,1827.751,,13 1:40.240,1:40.240,100.24,1806.914,,13 1:38.989,1:38.989,98.989,1806.318,,12,1282.320,406.826,410.957,422.425,414.997,424.354,425.009,420.301,434.249,434.069,424.077,441.104,446.889,447.592,,,443.698,441.476,449.089,447.149,486.702
14 1:37.910,1:37.910,97.910,1884.783,,14 1:38.505,1:38.505,98.505,1889.907,,14 1:39.713,1:39.713,99.713,1925.928,,,,#VALUE!,#VALUE!,,14 1:36.777,1:36.777,96.777,1908.927,,14 1:37.675,1:37.675,97.675,1922.63,,14 1:41.773,1:41.773,101.773,1933.457,,14 1:40.787,1:40.787,100.787,1925.552,,14 1:56.544,1:56.544,116.544,1919.981,,14 1:37.935,1:37.935,97.935,1930.725,,14 1:38.595,1:38.595,98.595,1901.819,,14 1:38.504,1:38.504,98.504,1894.154,,14 1:40.786,1:40.786,100.786,1923.849,,14 1:38.617,1:38.617,98.617,1930.328,,,,#VALUE!,#VALUE!,,14 1:38.510,1:38.510,98.51,1927.402,,,,#VALUE!,#VALUE!,,14 1:38.717,1:38.717,98.717,1926.468,,14 1:39.053,1:39.053,99.053,1905.967,,14 1:38.428,1:38.428,98.428,1904.746,,13,1389.180,397.693,402.222,414.044,406.470,417.734,417.138,414.257,443.610,422.970,435.775,435.585,442.504,439.712,,,437.035,433.883,442.531,438.571,
15 1:37.854,1:37.854,97.854,1982.637,,15 P 1:40.906,1:40.906,100.906,1990.813,,15 1:39.368,1:39.368,99.368,2025.296,,,,#VALUE!,#VALUE!,,15 1:36.788,1:36.788,96.788,2005.715,,15 1:37.377,1:37.377,97.377,2020.007,,15 1:41.380,1:41.380,101.380,2034.837,,15 1:40.961,1:40.961,100.961,2026.513,,15 1:37.453,1:37.453,97.453,2017.434,,15 1:38.125,1:38.125,98.125,2028.850,,15 1:38.172,1:38.172,98.172,1999.991,,15 P 1:40.439,1:40.439,100.439,1994.593,,15 1:39.373,1:39.373,99.373,2023.222,,15 1:39.624,1:39.624,99.624,2029.952,,,,#VALUE!,#VALUE!,,15 1:39.925,1:39.925,99.925,2027.327,,,,#VALUE!,#VALUE!,,15 1:40.420,1:40.420,100.42,2026.888,,15 1:38.915,1:38.915,98.915,2004.882,,15 1:38.565,1:38.565,98.565,2003.311,,14,1496.040,388.743,393.867,405.779,398.114,409.927,408.706,423.941,434.685,412.887,426.590,429.512,437.417,431.362,,,429.888,427.809,434.288,430.428,
16 P 1:40.272,1:40.272,100.272,2082.909,,16 1:54.826,1:54.826,114.826,2105.639,,16 1:39.404,1:39.404,99.404,2124.700,,,,#VALUE!,#VALUE!,,16 1:38.241,1:38.241,98.241,2103.956,,16 1:37.058,1:37.058,97.058,2117.065,,16 P 1:43.476,1:43.476,103.476,2138.313,,16 1:40.692,1:40.692,100.692,2127.205,,16 1:37.021,1:37.021,97.021,2114.455,,16 1:39.274,1:39.274,99.274,2128.124,,16 1:37.876,1:37.876,97.876,2097.867,,16 1:56.159,1:56.159,116.159,2110.752,,16 1:39.814,1:39.814,99.814,2123.036,,16 1:39.355,1:39.355,99.355,2129.307,,,,#VALUE!,#VALUE!,,16 1:40.096,1:40.096,100.096,2127.423,,,,#VALUE!,#VALUE!,,16 1:38.633,1:38.633,98.633,2125.521,,16 1:38.693,1:38.693,98.693,2103.575,,16 1:38.658,1:38.658,98.658,2101.969,,15,1602.900,379.737,387.913,397.091,391.693,401.982,400.411,414.534,425.950,402.815,417.107,423.613,431.937,424.427,,,422.396,420.322,427.052,423.988,
17 1:56.478,1:56.478,116.478,2199.387,,17 1:37.428,1:37.428,97.428,2203.067,,17 1:39.216,1:39.216,99.216,2223.916,,,,#VALUE!,#VALUE!,,17 1:37.807,1:37.807,97.807,2201.763,,17 1:36.747,1:36.747,96.747,2213.812,,17 1:58.732,1:58.732,118.732,2257.045,,17 1:40.929,1:40.929,100.929,2228.134,,17 1:36.999,1:36.999,96.999,2211.454,,17 1:38.057,1:38.057,98.057,2226.181,,17 1:37.856,1:37.856,97.856,2195.723,,17 1:36.469,1:36.469,96.469,2207.221,,17 1:39.728,1:39.728,99.728,2222.764,,17 1:39.312,1:39.312,99.312,2228.619,,,,#VALUE!,#VALUE!,,17 1:37.944,1:37.944,97.944,2225.367,,,,#VALUE!,#VALUE!,,17 1:38.718,1:38.718,98.718,2224.239,,17 1:40.530,1:40.530,100.53,2204.105,,17 1:39.417,1:39.417,99.417,2201.386,,16,1709.760,373.149,395.879,388.107,400.992,393.815,392.209,404.695,418.364,394.196,407.305,417.445,428.553,417.663,,,414.940,413.276,419.547,415.761,
18 1:36.822,1:36.822,96.822,2296.209,,18 1:37.844,1:37.844,97.844,2300.911,,18 1:40.309,1:40.309,100.309,2324.225,,,,#VALUE!,#VALUE!,,18 1:36.487,1:36.487,96.487,2298.250,,18 1:36.822,1:36.822,96.822,2310.634,,18 1:38.374,1:38.374,98.374,2355.419,,18 1:40.737,1:40.737,100.737,2328.871,,18 1:37.031,1:37.031,97.031,2308.485,,18 1:38.843,1:38.843,98.843,2325.024,,18 1:37.760,1:37.760,97.76,2293.483,,18 1:36.698,1:36.698,96.698,2303.919,,18 1:39.665,1:39.665,99.665,2322.429,,18 1:38.476,1:38.476,98.476,2327.095,,,,#VALUE!,#VALUE!,,18 1:39.270,1:39.270,99.27,2324.637,,,,#VALUE!,#VALUE!,,18 1:38.830,1:38.830,98.83,2323.069,,18 1:39.304,1:39.304,99.304,2303.409,,18 1:40.317,1:40.317,100.317,2301.703,,17,1816.620,382.767,386.447,379.103,390.601,387.485,384.766,394.834,409.561,385.143,397.192,411.514,440.425,408.747,,,407.296,406.144,411.999,407.619,
19 1:36.252,1:36.252,96.252,2392.461,,19 1:36.436,1:36.436,96.436,2397.347,,19 1:39.537,1:39.537,99.537,2423.762,,,,#VALUE!,#VALUE!,,19 1:36.783,1:36.783,96.783,2395.033,,19 1:36.782,1:36.782,96.782,2407.416,,19 1:38.599,1:38.599,98.599,2454.018,,19 P 1:42.283,1:42.283,102.283,2431.154,,19 1:36.821,1:36.821,96.821,2405.306,,19 1:39.757,1:39.757,99.757,2424.781,,19 1:37.523,1:37.523,97.523,2391.006,,19 1:37.786,1:37.786,97.786,2401.705,,19 1:39.538,1:39.538,99.538,2421.967,,19 1:38.894,1:38.894,98.894,2425.989,,,,#VALUE!,#VALUE!,,19 1:39.658,1:39.658,99.658,2424.295,,,,#VALUE!,#VALUE!,,19 1:39.632,1:39.632,99.632,2422.701,,19 1:39.352,1:39.352,99.352,2402.761,,19 1:38.392,1:38.392,98.392,2400.095,,18,1923.480,372.729,377.431,370.003,380.439,379.929,378.223,385.005,401.544,374.770,387.154,405.391,431.939,401.157,,,400.745,398.949,403.615,399.589,
20 1:36.402,1:36.402,96.402,2488.863,,20 1:36.206,1:36.206,96.206,2493.553,,20 1:38.968,1:38.968,98.968,2522.730,,,,#VALUE!,#VALUE!,,20 1:36.847,1:36.847,96.847,2491.880,,20 1:36.984,1:36.984,96.984,2504.4,,20 1:38.741,1:38.741,98.741,2552.759,,20 1:58.375,1:58.375,118.375,2549.529,,20 1:37.615,1:37.615,97.615,2502.921,,20 1:39.248,1:39.248,99.248,2524.029,,20 1:37.480,1:37.480,97.48,2488.486,,20 1:37.314,1:37.314,97.314,2499.019,,20 1:39.262,1:39.262,99.262,2521.229,,20 1:39.343,1:39.343,99.343,2525.332,,,,#VALUE!,#VALUE!,,20 1:39.100,1:39.100,99.1,2523.395,,,,#VALUE!,#VALUE!,,20 1:39.113,1:39.113,99.113,2521.814,,20 1:38.619,1:38.619,98.619,2501.38,,20 1:38.463,1:38.463,98.463,2498.558,,19,2030.340,362.121,367.007,360.666,371.365,372.421,369.755,374.966,394.441,364.693,377.076,400.814,423.678,393.955,,,393.422,391.627,395.649,392.361,
21 1:35.617,1:35.617,95.617,2584.480,,21 1:36.558,1:36.558,96.558,2590.111,,21 1:39.612,1:39.612,99.612,2622.342,,,,#VALUE!,#VALUE!,,21 1:36.996,1:36.996,96.996,2588.876,,21 1:37.416,1:37.416,97.416,2601.816,,21 1:38.415,1:38.415,98.415,2651.174,,21 1:37.716,1:37.716,97.716,2647.245,,21 1:37.565,1:37.565,97.565,2600.486,,21 1:39.552,1:39.552,99.552,2623.581,,21 1:38.203,1:38.203,98.203,2586.689,,21 1:37.995,1:37.995,97.995,2597.014,,21 1:39.545,1:39.545,99.545,2620.774,,21 1:39.780,1:39.780,99.78,2625.112,,,,#VALUE!,#VALUE!,,21 1:39.562,1:39.562,99.562,2622.957,,,,#VALUE!,#VALUE!,,21 1:39.457,1:39.457,99.457,2621.271,,21 1:38.642,1:38.642,98.642,2600.022,,21 1:39.492,1:39.492,99.492,2598.05,,20,2137.200,351.663,356.353,351.286,361.819,364.180,361.358,365.721,386.829,354.680,367.200,412.329,415.559,386.195,,,385.530,384.029,388.132,384.614,
22 1:36.384,1:36.384,96.384,2680.864,,22 1:37.264,1:37.264,97.264,2687.375,,22 P 1:41.989,1:41.989,101.989,2724.331,,,,#VALUE!,#VALUE!,,22 1:38.888,1:38.888,98.888,2687.764,,22 1:38.625,1:38.625,98.625,2700.441,,22 1:38.382,1:38.382,98.382,2749.556,,22 1:37.775,1:37.775,97.775,2745.020,,22 1:37.721,1:37.721,97.721,2698.207,,22 P 1:42.328,1:42.328,102.328,2725.909,,22 1:37.744,1:37.744,97.744,2684.433,,22 1:36.575,1:36.575,96.575,2693.589,,22 P 1:42.164,1:42.164,102.164,2722.938,,22 1:39.694,1:39.694,99.694,2724.806,,,,#VALUE!,#VALUE!,,22 P 1:41.916,1:41.916,101.916,2724.873,,,,#VALUE!,#VALUE!,,22 P 1:42.311,1:42.311,102.311,2723.582,,22 1:39.823,1:39.823,99.823,2699.845,,22 P 1:40.895,1:40.895,100.895,2698.945,,21,2244.060,340.420,346.051,342.629,352.954,355.962,353.990,356.426,379.521,344.816,357.756,403.185,407.114,378.897,,,378.282,376.714,381.052,377.211,
